60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
16,16,32,32,32,32,56,56,56,56,56,56,56,56,16,16,16,16,16,16
16,16,16,16,16,16,56,56,56,56,56,56,56,56,16,16,16,16,16,16
16,16,16,16,16,16,56,56,56,80,80,56,56,56,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
